epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,28354,0.06897,1.01978,0.89126,0.60804,0.6752,0.66983,0.66983,0.09801,0.56628,0.1429,0.0241994,0.00806647,0.0241994,0.00806647,0.0241994,0.00806647,0.0241994,0.00806647
31,29304,0.06836,1.01626,0.89197,0.62162,0.67241,0.67072,0.67072,0.09646,0.56413,0.14141,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099,0.023823,0.00794099
32,30253.4,0.06678,1.01469,0.89066,0.62286,0.66788,0.67258,0.67258,0.09726,0.56361,0.14271,0.0234378,0.00781261,0.0234378,0.00781261,0.0234378,0.00781261,0.0234378,0.00781261
33,31200.9,0.06532,1.00365,0.89006,0.62944,0.66447,0.67538,0.67538,0.09838,0.56345,0.14406,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145,0.0230444,0.00768145
34,32154.2,0.0656,1.00794,0.89181,0.62978,0.67923,0.67676,0.67676,0.09787,0.55932,0.14353,0.022643,0.00754766,0.022643,0.00754766,0.022643,0.00754766,0.022643,0.00754766
35,33105.6,0.06573,0.99685,0.89117,0.62744,0.67474,0.67669,0.67669,0.09666,0.55769,0.14171,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136,0.0222341,0.00741136
36,34054.8,inf,0.99339,0.88906,0.63432,0.67217,0.67918,0.67918,0.0972,0.55482,0.14246,0.021818,0.00727268,0.021818,0.00727268,0.021818,0.00727268,0.021818,0.00727268
37,35010.6,inf,0.98609,0.88894,0.63648,0.67417,0.68195,0.68195,0.09785,0.55412,0.14345,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177,0.0213953,0.00713177
38,35969.3,0.06353,0.99476,0.88923,0.64192,0.67463,0.68176,0.68176,0.09869,0.55242,0.1446,0.0209663,0.00698875,0.0209663,0.00698875,0.0209663,0.00698875,0.0209663,0.00698875
39,36935.9,0.06206,0.99021,0.88943,0.64442,0.67238,0.68216,0.68216,0.09912,0.55134,0.14581,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378,0.0205313,0.00684378
40,37904.4,inf,0.98295,0.88991,0.6419,0.67738,0.68436,0.68436,0.0999,0.54992,0.14723,0.020091,0.006697,0.020091,0.006697,0.020091,0.006697,0.020091,0.006697
41,38888.2,inf,0.97531,0.88809,0.64611,0.67001,0.68499,0.68499,0.10168,0.54961,0.14902,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854,0.0196456,0.00654854
42,39868.3,0.06,0.97784,0.88792,0.64888,0.67754,0.68771,0.68771,0.10117,0.54743,0.1484,0.0191957,0.00639856,0.0191957,0.00639856,0.0191957,0.00639856,0.0191957,0.00639856
43,40876.4,0.0591,0.97827,0.88985,0.64845,0.67852,0.68867,0.68867,0.10097,0.54585,0.14788,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721,0.0187416,0.00624721
44,41895.9,inf,0.96841,0.88761,0.65219,0.67871,0.6899,0.6899,0.10142,0.54332,0.14799,0.0182839,0.00609463,0.0182839,0.00609463,0.0182839,0.00609463,0.0182839,0.00609463
45,42914.7,0.05759,0.96143,0.88782,0.65903,0.6723,0.69176,0.69176,0.1022,0.5417,0.14868,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097,0.0178229,0.00594097
46,43933.2,inf,0.96211,0.88917,0.67036,0.66566,0.6936,0.6936,0.10247,0.54006,0.14867,0.0173592,0.00578639,0.0173592,0.00578639,0.0173592,0.00578639,0.0173592,0.00578639
47,44956.6,0.05582,0.95045,0.8874,0.67921,0.6586,0.69443,0.69443,0.10273,0.53843,0.14896,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104,0.0168931,0.00563104
48,45978.8,0.05479,0.95331,0.88698,0.68353,0.65369,0.69581,0.69581,0.10257,0.53595,0.14887,0.0164252,0.00547507,0.0164252,0.00547507,0.0164252,0.00547507,0.0164252,0.00547507
49,47000.6,0.05466,0.94899,0.88848,0.7124,0.64552,0.69919,0.69919,0.10228,0.53387,0.14848,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864,0.0159559,0.00531864
50,48028.1,0.05425,0.94942,0.8874,0.71858,0.64163,0.70082,0.70082,0.10262,0.533,0.14898,0.0154857,0.0051619,0.0154857,0.0051619,0.0154857,0.0051619,0.0154857,0.0051619
51,49060.1,0.05446,0.93945,0.8868,0.72109,0.64161,0.70305,0.70305,0.10289,0.53174,0.14938,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
52,50076.2,0.05297,0.93397,0.88696,0.72399,0.6394,0.7043,0.7043,0.10285,0.53109,0.1494,0.0145443,0.0048481,0.0145443,0.0048481,0.0145443,0.0048481,0.0145443,0.0048481
53,1222.28,0.04939,0.9454,0.88702,0.72466,0.64423,0.7052,0.7052,0.10306,0.53094,0.14964,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136,0.0140741,0.00469136
54,2183.16,inf,0.93907,0.88673,0.72251,0.64397,0.70581,0.70581,0.10335,0.53083,0.15004,0.0136048,0.00453493,0.0136048,0.00453493,0.0136048,0.00453493,0.0136048,0.00453493
55,3200.68,0.04973,0.93993,0.88682,0.71893,0.64627,0.70654,0.70654,0.10378,0.53034,0.15054,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896,0.0131369,0.00437896
56,4220,inf,0.94209,0.88582,0.71525,0.64694,0.70696,0.70696,0.1042,0.53015,0.15108,0.0126708,0.00422361,0.0126708,0.00422361,0.0126708,0.00422361,0.0126708,0.00422361
57,5277.07,inf,0.93409,0.88545,0.71405,0.64946,0.70789,0.70789,0.10407,0.52907,0.15084,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903,0.0122071,0.00406903
58,6255.69,inf,0.93198,0.88492,0.7117,0.65477,0.70874,0.70874,0.10416,0.5285,0.15096,0.0117461,0.00391537,0.0117461,0.00391537,0.0117461,0.00391537,0.0117461,0.00391537
59,7238.61,0.04745,0.92319,0.88424,0.71682,0.65462,0.71011,0.71011,0.1044,0.52803,0.15114,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279,0.0112884,0.00376279
60,8232.83,inf,0.92028,0.88502,0.71123,0.66141,0.71047,0.71047,0.10399,0.52726,0.15057,0.0108343,0.00361144,0.0108343,0.00361144,0.0108343,0.00361144,0.0108343,0.00361144
61,9219.99,inf,0.92523,0.88639,0.70938,0.66117,0.71197,0.71197,0.1034,0.52519,0.14986,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146,0.0103844,0.00346146
62,10214.8,inf,0.91693,0.8842,0.70714,0.66697,0.71341,0.71341,0.10289,0.52328,0.14921,0.00993901,0.003313,0.00993901,0.003313,0.00993901,0.003313,0.00993901,0.003313
63,11543.3,inf,0.90798,0.88483,0.70141,0.67484,0.71335,0.71335,0.103,0.52326,0.14918,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622,0.00949865,0.00316622
64,12500.5,0.04408,0.90368,0.88381,0.69303,0.68172,0.71443,0.71443,0.10302,0.5224,0.14909,0.00906374,0.00302125,0.00906374,0.00302125,0.00906374,0.00302125,0.00906374,0.00302125
65,13580.9,inf,0.91294,0.88499,0.67527,0.68271,0.70981,0.70981,0.10356,0.52538,0.14962,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823,0.0086347,0.00287823
66,14670.3,0.04726,0.9233,0.88589,0.59841,0.59569,0.63125,0.63125,0.10911,0.67036,0.15577,0.00821195,0.00273732,0.00821195,0.00273732,0.00821195,0.00273732,0.00821195,0.00273732
67,15680.7,inf,0.95726,0.89058,0.46138,0.53874,0.48532,0.48532,0.12254,0.97414,0.173,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864,0.00779592,0.00259864
68,16818.6,inf,1.07464,0.90875,0.40769,0.44526,0.32894,0.32801,0.1805,1.10376,0.23633,0.00738701,0.00246234,0.00738701,0.00246234,0.00738701,0.00246234,0.00738701,0.00246234
69,17756.9,0.37895,1.58704,1.12732,0.39514,0.29536,0.24258,0.21521,0.54554,1.62708,0.58203,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855,0.00698564,0.00232855
70,18691.8,0.25503,1.54762,1.00578,0,0,0,0,0.99844,1.48812,0.77194,0.00659218,0.00219739,0.00659218,0.00219739,0.00659218,0.00219739,0.00659218,0.00219739
71,19627,0.22551,1.56492,0.99125,0,0,0,0,0.34407,0.35759,0.26892,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901,0.00620704,0.00206901
72,20566.5,0.22022,1.52726,0.98742,0,0,0,0,0.05165,0,0.04708,0.00583059,0.00194353,0.00583059,0.00194353,0.00583059,0.00194353,0.00583059,0.00194353
73,21511.6,0.1983,1.40735,0.97464,0,0,0,0,0.02113,0,0.01974,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107,0.0054632,0.00182107
74,22474.3,0.19156,1.39922,0.97165,0,0,0,0,0.01784,0,0.01695,0.00510524,0.00170175,0.00510524,0.00170175,0.00510524,0.00170175,0.00510524,0.00170175
75,23442.6,0.1893,1.39321,0.96572,0,0,0,0,0.02537,0,0.0245,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569,0.00475706,0.00158569
76,24413.3,0.19279,1.40156,0.96912,0,0,0,0,0.03723,0,0.03624,0.004419,0.001473,0.004419,0.001473,0.004419,0.001473,0.004419,0.001473
77,25390,0.18693,1.32676,0.96277,0,0,0,0,0.04895,0,0.04791,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638,0.00409141,0.0013638
78,26358.4,0.17584,1.30757,0.9566,0,0,0,0,0.05672,0,0.05583,0.00377459,0.0012582,0.00377459,0.0012582,0.00377459,0.0012582,0.00377459,0.0012582
79,27329,0.1697,1.30507,0.95183,0,0,0,0,0.05844,0,0.05761,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629,0.00346886,0.00115629
